Feature,Importance (mean |SHAP|)
paym_row_share_code_0_mean,0.27602720303037853
share_any_overdue,0.1309396999386278
cat_util_and_history,0.12408644366917058
pre_since_opened_last,0.11963517704560096
pre_since_opened_share_rare_bins,0.10508298576887296
pre_loans_credit_cost_rate_last,0.1038302704814777
paym_row_change_count_mean,0.09746182025108323
loans3060_zero_share,0.09296069525386376
pre_loans_credit_limit_first,0.09208238758569821
pre_loans_credit_cost_rate_share_global_mode,0.08074748186988862
loans530_zero_share,0.07898611494150236
overall_anomaly_score,0.07354229288803589
pre_util_share_global_mode,0.07199261797797255
pre_loans_credit_limit_share_global_mode,0.0718150474674202
pre_util_last,0.06671817735637514
enc_loans_credit_type_nunique,0.05999939934774413
is_chronic_defaulter,0.056538903126330864
enc_loans_credit_type_last,0.0539448374702981
pre_loans_credit_limit_last,0.053079558669784845
enc_loans_credit_type_change_count,0.051337502219928985
overall_typicalness_score,0.04756350619799929
paym_row_share_code_1_mean,0.047498313924351644
pre_loans_outstanding_last,0.047393535943542064
pre_since_confirmed_share_global_mode,0.04502890630544418
pre_loans_credit_limit_share_rare_bins,0.043135187792921297
paym_row_first_mean,0.04292958506722917
pre_util_share_rare_bins,0.042328608593803184
pre_since_opened_first,0.041144449504159526
fclose_flag_share,0.03849616635912036
pre_since_opened_share_global_mode,0.037036086283471506
paym_row_share_code_4_mean,0.03542351603564883
paym_row_last_mean,0.0339798106886196
maxover2limit_zero_share,0.033006206561125725
pre_since_confirmed_nunique,0.03150910831132117
pre_loans_credit_limit_nunique,0.03065772499096875
share_serious_overdue,0.02793637598143124
cat_type_transition,0.0274451396372655
pre_since_confirmed_last,0.02642668705480882
paym_row_share_code_3_mean,0.026288873851721392
pre_since_opened_nunique,0.02520053702948429
paym_row_change_count_max,0.024342829631390218
pre_loans_credit_cost_rate_nunique,0.024332361020287328
paym_row_nunique_mean,0.023039482177127188
util_zero_share,0.019316483165334943
pre_loans530_nunique,0.017491764467272734
pre_loans_outstanding_share_global_mode,0.017298024963660237
pre_since_confirmed_first,0.01673007656763653
enc_loans_credit_type_first,0.01640575852940675
pre_loans_outstanding_nunique,0.016121738538495974
cat_last_util_and_time,0.015759017281986462
util_nonzero_count,0.015710620741366064
pre_loans_credit_limit_change_count,0.015093946285676715
cat_last_type_and_limit,0.01467914633662958
loans5_zero_share,0.014666913722326433
count_any_overdue,0.014356023768861154
pclose_flag_share,0.014254003471831764
pre_util_change_count,0.013640876179507936
over2limit_zero_share,0.012242894086631128
pre_util_nunique,0.011972014955735721
rn_span,0.009674108384601261
pre_since_opened_change_count,0.00950286715661797
maxover2limit_has_nonzero,0.009304145078276796
paym_row_nunique_max,0.007717138556138536
num_credits,0.006214704376810627
loans90_zero_share,0.005902088718095606
pre_util_first,0.004822666946403395
loans3060_has_overdue,0.004673456035722162
max_rn,0.0044565496793594625
pre_loans90_share_global_mode,0.0031486917753418015
pre_loans530_changed_ever,0.0024975402795809863
count_serious_overdue,0.002094721301260555
over2limit_has_nonzero,0.0017679838971649227
serious_to_mild_ratio,0.0007532485450743422
loans5_has_overdue,0.0007037937230194315
util_has_nonzero,0.0005902679361755901
cat_limit_transition,0.0005504355541912519
pre_loans3060_changed_ever,0.0004664243583884396
pre_loans3060_nunique,0.00034915495017225415
pre_loans90_nunique,0.00023220386577516776
loans90_has_overdue,0.0
fclose_flag_any,0.0
pclose_flag_any,0.0
is_single_credit,0.0
loans530_has_overdue,0.0
has_any_overdue,0.0
has_serious_overdue,0.0
